Step,Q_Short,DQ_Short,Q_NN,DQ_NN,Q_Bench,DQ_Bench
0,3.0,2.9440323124440066e-35,3.0,-1.4222182636789095e-34,3.0,-4.093934548608012e-34
1,2.9920166597798166,-0.3197105303367637,2.992016659291148,-0.319710549906573,2.992016658646288,-0.3197105757313667
2,2.9679264260312967,-0.6455711566315079,2.967926423863015,-0.6455712043577778,2.9679264210260454,-0.6455712663634932
3,2.9272272408248226,-0.9853803555685371,2.927227235215956,-0.985380445703844,2.927227227957185,-0.9853805608773613
4,2.8690240508608142,-1.3470682062690658,2.869024039080417,-1.347068363418837,2.8690240240113445,-1.3470685611953965
5,2.7920217252767503,-1.7386973493764821,2.7920217028530896,-1.7386976186590886,2.792021674436982,-1.7386979556441962
6,2.69452141262192,-2.168310408626481,2.6945213717490333,-2.168310878437563,2.69452131968938,-2.168311488621046
7,2.574430437017663,-2.6435201858307393,2.5744303699225286,-2.6435207664426197,2.574430261851435,-2.6435223994638926
8,2.4293021950323634,-3.1706910801759443,2.4339006027196084,-2.986620832584616,2.4293017399278245,-3.1707000744733063
9,2.261369512199139,-3.5558960580214225,2.282773488114049,-3.0671546130540435,2.2665599016350177,-3.348156209575624
10,2.07413400144375,-3.9418015594943463,2.126376274534903,-3.1961979663966757,2.0959940815368165,-3.482356340435456
