Step,q1_MPC,q2_MPC,q1_Bench,q2_Bench
0,0.0,0.0,-3.2292636865007096e-31,-3.623446955602372e-31
1,0.003995416600920279,-0.0059934452162395905,-0.00399542240022033,0.005993456826124268
2,0.015928982173659692,-0.023898075135312072,-0.01592900548639734,0.02389812214192838
3,0.03565612091609574,-0.05350344273224519,-0.035656173996630874,0.05350355106713077
4,0.06297928241934198,-0.0945125731948516,-0.06297937500911838,0.09451276750689824
5,0.09770779657553624,-0.1466161883275775,-0.09607445899417434,0.1450043388836395
6,0.1367702164765791,-0.2034987383741091,-0.13097131973439552,0.20097592489062535
7,0.17667040302380627,-0.2579387506457844,-0.16538922395442024,0.26010226164524664
8,0.2168526940455769,-0.3088271687799565,-0.19928796051583225,0.32222748724817224
9,0.2572123118432885,-0.356059433048378,-0.23265981344713949,0.38721596525871854
10,0.29762939438262315,-0.3995358949208509,-0.26528370700067133,0.4543613365634737
11,0.33797012013691285,-0.43915238041234156,-0.29631321737812666,0.5213009299017844
12,0.3780860759083777,-0.474783839897454,-0.3248721838872657,0.5855878387076748
13,0.4178075765952715,-0.5062463013587648,-0.3506126355454002,0.646254553006793
14,0.4569192329225503,-0.5331903310757643,-0.373402061609231,0.7030518967002765
15,0.4951747374522257,-0.5551086197131475,-0.3931882023657468,0.7560716265350703
16,0.5323992394318894,-0.5716835136246085,-0.40994470517213233,0.805563463857995
17,0.5684983066150135,-0.5828307473911026,-0.42365102867954885,0.8518453653810514
18,0.6033997114677703,-0.58848270081476,-0.4342863285474819,0.8952582286928874
19,0.637054074900689,-0.5885877802078815,-0.44182887548171906,0.9361422096697681
20,0.669434931873139,-0.5831101353196266,-0.4462575389456945,0.9748239622403465
21,0.7005383694313662,-0.5720298413879144,-0.4475539209835151,1.0116096973411357
22,0.7303823559140081,-0.5553436217265596,-0.4457045622668514,1.0467815421530857
23,0.7590058408367383,-0.5330661324640382,-0.4407029853249905,1.0805958919315444
24,0.7864676643711132,-0.5052317861168567,-0.4325514825004879,1.1132830259658109
25,0.8128452765043268,-0.47189704675168304,-0.42126261770745294,1.1450475457385678
26,0.8382332289816005,-0.43314308071239305,-0.40686043907910285,1.176069344013863
27,0.8627413740463035,-0.389078591541394,-0.38938141273198246,1.2065049009978317
28,0.8864926857473137,-0.3398426042464144,-0.3688750935363417,1.2364887611050948
29,0.9096206116391004,-0.28560689529039535,-0.34540455018940763,1.2661350859057794
30,0.9322658717261281,-0.2265777001278743,-0.31904656081906774,1.2955392116388966
31,0.9545726188943683,-0.1629962722002658,-0.2898915930630291,1.3247791656372414
32,0.9766840327452514,-0.09513789068057509,-0.2580435800651821,1.3539171160816728
33,0.9987372753408371,-0.02330888089895125,-0.22361950185175747,1.3830007442891472
34,1.0208578518205025,0.05215868861186761,-0.18674878057858563,1.4120645388720607
35,1.0431536164213595,0.1309147589937933,-0.1475724984050555,1.4411310173307514
36,1.0657085178240637,0.21260148550467162,-0.10624244825335862,1.4702118837671128
37,1.0885762548589002,0.2968656625236432,-0.06292003027942213,1.4993091322387044
38,1.109117449782148,0.3853060243774197,-0.017775010216967292,1.5284161045420148
39,1.1246329910239694,0.4798189628116506,0.029015840511389588,1.5575185095393802
40,1.1349757833183767,0.5805518063087687,0.077270199288154,1.5865954090116778
41,1.1398382052147067,0.6877603082394997,0.12680171442038846,1.6156201727806512
42,1.1386713374065056,0.8019006269362077,0.17742156527451788,1.6445614037356273
43,1.1305683362289427,0.9237628428025362,0.228940029178333,1.6733838315612728
44,1.1140975085651805,1.0546559228884227,0.2811680233801276,1.7020491724706543
45,1.0870739673516492,1.1966411566162047,0.333918591155664,1.730516951132515
46,1.0462813233078767,1.3527680053029085,0.3870083032027288,1.7587452802489416
47,0.9872136620610374,1.5271760533613423,0.4402585486503766,1.7866915928806988
48,0.9040056974630445,1.7248145762315479,0.4934966941430745,1.8143133226142354
49,0.7898392286868862,1.9504960138328933,0.546557094284186,1.8415685269899817
50,0.6413852334974656,2.202030715739789,0.5992819419471458,1.8684164502293321
51,0.45751537945583076,2.4777261011071188,0.6515219522854627,1.8948180221597364
52,0.24071220294970058,2.776729184391682,0.7031368794105544,1.9207362912845116
53,0.005022014858333312,3.0922911416650223,0.7539958694147576,1.9461367911084098
54,-0.2254593192596695,3.419963938855452,0.8039776575061499,1.9709878400389873
55,-0.42373653999351973,3.7566035277032164,0.8529706203660192,1.995260776365522
56,-0.569072234526256,4.098095549494472,0.90087269737741,2.0189301309060177
57,-0.6531746079052956,4.432067904077008,0.9475911961018194,2.0419737408541403
58,-0.6800661283023544,4.74257960461929,0.9930424983478396,2.064372809111378
59,-0.6591762323416329,5.022400221697989,1.0371516834643193,2.086111913930082
60,-0.6008893771669185,5.270602401747398,1.079852085209408,2.1071789740093623
61,-0.5141166314156373,5.490098089559749,1.1210847978157041,2.127565174278305
62,-0.40547567414201446,5.684800968625645,1.1607981458128127,2.1472648574770967
63,-0.27940206966381514,5.857968090558961,1.1989471308990762,2.1662753863158066
64,-0.13856455675510718,6.011528305602451,1.235492867781339,2.1845969804595446
65,0.015754664881899916,6.14583165180768,1.2704020195203911,2.2022325318574705
66,0.17947451759551528,6.263424081692165,1.3036462416119468,2.2191874009922707
67,0.3455038460521459,6.373377986575252,1.335201642866633,2.235469195458482
68,0.5110685197591782,6.4804943894642815,1.3650482701810114,2.2510875308598166
69,0.6771080764518564,6.581906014228343,1.39316962355207,2.2660537723294456
70,0.8444397631978864,6.674691611035143,1.4195522071963287,2.280380753023462
71,1.0137387865666552,6.755800204496437,1.4441851223816045,2.294082463754819
72,1.1854660870866258,6.82204447780749,1.4670597075201874,2.307173705621914
73,1.359756727861282,6.8701687270051,1.4881692311198584,2.3196696952261493
74,1.5363058751002043,6.896988145192309,1.5075086432083977,2.3315856101534216
75,1.7143125990151946,6.899585059584002,1.525074390652573,2.342936061214589
76,1.8925435430698596,6.875548503320692,1.5408643011562815,2.353734477999517
77,2.0695426477954255,6.823264841377735,1.5548775393940941,2.3639923961606586
78,2.2459568023397707,6.7398115996050345,1.5671146364772723,2.3737186390591183
79,2.422983853980991,6.62614841859919,1.5775775905814136,2.382918393419432
80,2.6005186450952924,6.488229122060456,1.5862700320297842,2.391592188646299
81,2.777061928593189,6.327561518424008,1.5931974405452678,2.3997348022741996
82,2.948230820999098,6.145681853473555,1.5983673961041758,2.4073341289699717
83,3.110702221148405,5.950050737148428,1.6017898384373739,2.414370066356549
84,3.2697320051811096,5.759677025755106,1.6034773045312853,2.420813485925729
85,3.4306671661531185,5.592169213224862,1.603445109408778,2.4266253693579345
86,3.5929566576648204,5.453408761607291,1.6017114339048313,2.431756197506433
87,3.756348512447854,5.347097517928655,1.598297284644965,2.4361456793627614
88,3.9203054946923825,5.274642338180896,1.5932262949627969,2.439722901218509
89,4.08403220100471,5.234519595132312,1.5865242744331771,2.442407005999052
90,4.2470027504444365,5.222238097261032,1.5781120122258916,2.4441786520383886
91,4.409134629945504,5.232722025348445,1.5677166616283111,2.4451409609512336
92,4.570059795007203,5.262600671282745,1.5549950398800843,2.4454452672798332
93,4.728936697540518,5.309767496906888,1.5396368774683054,2.445231511049353
94,4.885143722530459,5.37206239394437,1.5213619406885777,2.444636564617581
95,5.038557332884714,5.447163738821166,1.4999184459199477,2.4438005773784064
96,5.1894361318974305,5.532716321998385,1.475082637096849,2.4428719140639976
97,5.33818604234939,5.626516219555466,1.4466594179417567,2.4420111480403683
98,5.48513293085782,5.726666631502002,1.4144839715542177,2.441394493431818
99,5.630341567190027,5.831692999275162,1.378424328952323,2.4412170243263827
100,5.773584571080652,5.9405291344609115,1.3383848769125095,2.4416960214068104
